Id,does-bruise-or-bleed,habitat,season,cap-diameter,stem-height,stem-width,class
50051,t,d,u,8.94,7.91,24.55,1
19596,f,m,a,2.92,3.59,6.59,1
3645,f,m,a,4.11,4.78,3.56,1
39079,f,d,a,3.24,4.65,4.53,1
2245,f,d,u,8.48,13.72,14.6,1
44159,f,g,a,6.69,12.23,13.83,1
43098,t,g,u,5.73,7.79,14.08,1
50975,f,d,u,10.99,11.21,32.9,1
39971,f,p,a,2.95,4.15,3.81,1
57083,f,d,a,10.67,4.92,21.86,0
7288,f,g,u,3.58,2.88,6.85,1
31084,f,d,u,7.64,5.79,9.04,0
41279,f,d,u,5.28,5.47,6.4,1
856,f,d,u,12.95,10.92,14.22,1
16455,f,d,a,5.27,5.07,8.23,0
36896,f,d,a,7.25,9.22,10.65,1
43963,f,g,u,8.9,19.68,12.72,0
13146,f,g,a,0.83,5.44,1.11,1
2076,f,d,u,6.98,6.09,12.37,0
15876,t,d,a,7.2,5.55,15.22,1
16611,f,d,a,8.67,11.1,14.73,0
41699,f,d,u,1.33,4.35,1.36,1
34828,f,g,s,2.09,5.86,3.21,1
25239,f,d,a,23.53,6.0,25.63,0
57140,f,d,a,8.31,5.22,20.29,0
8335,f,d,a,3.34,8.29,3.9,1
50681,f,d,a,4.72,5.2,11.36,0
33742,f,g,u,6.87,3.32,8.29,0
60364,f,d,s,5.95,6.55,22.33,0
23358,f,d,a,4.59,5.4,8.41,1
16232,f,d,u,6.59,4.7,10.32,0
46905,f,d,u,3.22,6.45,6.11,0
23300,f,d,a,4.91,4.69,7.76,1
26288,f,d,u,10.45,6.41,21.21,0
58029,f,d,a,2.81,0.0,0.0,1
7431,f,d,u,3.66,5.2,4.58,1
34848,f,g,u,1.63,5.2,2.82,1
23959,f,d,u,5.42,5.93,7.4,1
43693,t,d,a,9.9,8.88,17.29,0
44326,f,g,s,6.58,10.66,13.08,1
28612,t,d,a,6.99,6.49,9.12,1
20174,f,d,a,7.27,5.4,11.01,0
50981,f,d,u,8.53,10.47,30.47,1
2724,f,d,u,5.49,12.3,12.52,0
12166,f,d,a,2.54,5.49,5.72,1
30997,t,d,u,10.04,4.41,11.86,1
42865,t,m,a,9.62,10.51,17.63,0
3455,t,g,u,14.38,9.29,16.4,0
22152,f,d,u,3.94,3.73,8.9,0
17334,f,d,u,8.34,8.19,31.96,0
32797,f,g,a,3.17,4.0,2.7,1
56781,f,d,u,3.84,0.0,0.0,1
8641,f,l,a,6.79,7.64,11.14,0
58737,f,d,w,13.65,4.37,31.54,1
22291,t,d,u,5.99,8.04,15.47,0
